# Tag name          ;  color
Schuylkill County   ; #eae788
TRS                 ; #ff510c
Radio Direction Finding; #aaaa00
Aircraft            ; #aaffff
Utilities           ; #4d5fc0
Satellite           ; #905353
Digital/DMR         ; #aa55ff
Transportation      ; #5bc03f
Voice               ; #00aa7f
Ham                 ; #00aa7f
Untagged            ; #c0c0c0
Public Works        ; #c0629f
Data                ; #00ffff

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
     1490000; WONN-FM                  ; AM                  ;      10000; Voice
     1800000; Start of 160M Band       ; Demod Off           ;          0; Ham
     1816710; Morse Code               ; CW-L                ;        500; Data
     2000000; End of 160M Band         ; Demod Off           ;          0; Ham
     3330000; CHU Canadian Time        ; USB                 ;       2700; Data
     3500000; Start of 80M Band        ; Demod Off           ;          0; Ham
     4000000; End of 80M Band          ; Demod Off           ;          0; Ham
     4625000; UVB-76                   ; USB                 ;       2700; Ham
     5330500; 60M Channel 1            ; USB                 ;       5000; Ham
     5346500; 60M Channel 2            ; USB                 ;       5000; Ham
     5357000; 60M Channel 3            ; USB                 ;       5000; Ham
     5371500; 60M Channel 4            ; USB                 ;       5000; Ham
     5403500; 60M Channel 5            ; USB                 ;       5000; Ham
     6586000; MWARA CAR-B New York     ; USB                 ;       2700; Aircraft,Voice
     6604000; Gander Radio Canada      ; USB                 ;       2700; Aircraft,Public Works
     6754000; Trenton, Canada Mil Weather; USB                 ;       2700; Aircraft,Voice
     6925000; Frequent Pirate Radio    ; AM                  ;      10000; Voice
     7000000; Start of 40M Band        ; Demod Off           ;          0; Ham
     7048900; W1AW - ARRL              ; LSB                 ;       2700; Ham
     7173000; LSB 40 Meters            ; LSB                 ;       2700; Ham
     7300000; End of 40M Band          ; Demod Off           ;          0; Ham
     7850000; CHU Canada Time          ; USB                 ;       2700; Data,Voice
    10100000; Start of 30M Band        ; Demod Off           ;          0; Ham
    10150000; End of 30M Band          ; Demod Off           ;          0; Ham
    12160000; Crazy Conspiracy Nut     ; AM                  ;      10000; Voice
    14000000; Start of 20M Band        ; Demod Off           ;          0; Ham
    14350000; End of 20M Band          ; Demod Off           ;          0; Ham
    18068000; Start of 17M Band        ; Demod Off           ;          0; Ham
    18168000; End of 17M Band          ; Demod Off           ;          0; Ham
    21000000; Start of 15M Band        ; Demod Off           ;          0; Ham
    21450000; End of 15M Band          ; Demod Off           ;          0; Ham
    24890000; Start of 12M Band        ; Demod Off           ;          0; Ham
    24990000; End of 12M Band          ; Demod Off           ;          0; Ham
    28000000; Start of 10M Band        ; Demod Off           ;          0; Ham
    29680000; W3HZU York               ; Narrow FM           ;      10000; Ham
    29700000; End of 10M Band          ; Demod Off           ;          0; Ham
    31000000; Little Britain Ag Supply ; Narrow FM           ;      10000; Voice
    31160000; John Weidman & Son Oil Burner Service; Narrow FM           ;      10000; Voice
    33080000; Manheim Township Ambulance Assoc; Narrow FM           ;      10000; Voice
    33420000; Hope Fire Engine & Hose Company; Narrow FM           ;      10000; Voice
    33440000; Lancaster County Fire/EMS; Narrow FM           ;      10000; Voice
    33480000; Lancaster County Fire/EMS; Narrow FM           ;      10000; Voice
    33520000; Lancaster County Fire/EMS; Narrow FM           ;      10000; Voice
    33560000; Fire/EMS Dispatch B (Northeast) TRS Rebroadcast; Narrow FM           ;      10000; Voice
    33600000; House Siren Activations  ; Narrow FM           ;      10000; Voice
    33620000; Hope Fire Engine & Hose Company; Narrow FM           ;      10000; Voice
    33640000; Fire/EMS Dispatch A (Northwest) TRS Rebroadcast; Narrow FM           ;      10000; Voice
    33720000; Fire/EMS Dispatch C (City/South) TRS Rebroadcast; Narrow FM           ;      10000; Voice
    33800000; Lititz FC No. 1          ; Narrow FM           ;      10000; Voice
    33820000; Lancaster City Voice     ; Narrow FM           ;      10000; Voice
    33840000; Ephrata Pioneer FC       ; Narrow FM           ;      10000; Voice
    33900000; Lancaster County Fire/EMS Dispatch; Narrow FM           ;      10000; Voice
    33920000; East Lampeter Township Fire District; Narrow FM           ;      10000; Voice
    33960000; Lititz FC No. 1          ; Narrow FM           ;      10000; Voice
    33980000; Elizabethtown Fire District; Narrow FM           ;      10000; Voice
    45040000; Mount Joy Township Forest Fire Channel; Narrow FM           ;      10000; Voice
    45640000; Akron Municipal PD (Tac/Low); Narrow FM           ;      10000; Voice
    45700000; West Earl Municipal PD (Low); Narrow FM           ;      10000; Voice
    50000000; Start of 6M Band         ; Demod Off           ;          0; Ham
    50185000; 6M QRP Phone             ; LSB                 ;       2700; Ham,Voice
    53330000; K3CX Honey Brook         ; AM                  ;      46400; Ham,Voice
    53850000; N3TJJ Rawlinsville       ; Narrow FM           ;       6600; Ham
    53870000; N3KZ Earlville           ; Narrow FM           ;      10000; Ham,Voice
    53970000; W3HZU York               ; Narrow FM           ;       6600; Ham
    54000000; End of 6M Band           ; Demod Off           ;          0; Ham
    72220000; Lancaster General Hospital WQHT584; Narrow FM           ;      10000; Data,Public Works
    72580000; Lancaster County Fire/EMS Dispatch; Narrow FM           ;      10000; Voice
    75620000; AFSK Pager Link          ; Narrow FM           ;      10000; Data
    88700000; WXPN                     ; WFM (mono)          ;     160000; Voice
    89500000; WITF                     ; WFM (mono)          ;     160000; Voice
    90300000; WJTL                     ; WFM (mono)          ;     160000; Voice
    90700000; WRTL                     ; WFM (stereo)        ;     160000; Voice
    91300000; WLCH                     ; WFM (mono)          ;     160000; Voice
    91900000; WYTL                     ; WFM (mono)          ;     160000; Voice
    92100000; WTPA                     ; WFM (mono)          ;     160000; Voice
    94500000; WDAC                     ; WFM (mono)          ;     160000; Voice
    96100000; WSOX                     ; WFM (mono)          ;     160000; Voice
    96900000; WLAN                     ; WFM (mono)          ;     160000; Voice
    97300000; WRVV                     ; WFM (mono)          ;     160000; Voice
   101300000; WROZ                     ; WFM (mono)          ;     160000; Voice
